 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180716-19:59:51-12298),
9052.222,90.521999999999991
9056.004,90.5600000000000019
9056.056,90.5600000000000019
9065.851,90.65799999999998675
9075.553,90.75499999999999505
9077.3,90.77299999999999575
9083.939,90.8389999999999985
9087.219,90.87199999999998535
9090.15,90.90099999999998165
9096.953,90.96899999999999355
9098.957,90.9890000000000039
9099.589,90.99500000000000425
9108.846,91.08799999999999355
9114.918,91.1490000000000006
9118.011,91.1800000000000064
9122.787,91.2270000000000035
9126.819,91.26800000000000035
9129.659,91.2959999999999919
9135.99,91.3589999999999801
9138.374,91.3829999999999809
9147.281,91.47199999999997975
9152.426,91.5240000000000006
9156.752,91.5669999999999783
9160.431,91.60399999999998475
9169.713,91.69700000000000235
9174.278,91.7419999999999898
9180.199,91.8009999999999873
9183.574,91.8349999999999791
9187.892,91.8779999999999856
9197.597,91.97499999999999385
9203.525,92.03499999999999625
9204.859,92.04800000000000155
9208.404,92.0840000000000028
9209.372,92.09299999999998905
9215.942,92.1589999999999914
9219.376,92.19299999999998325
9225.899,92.2579999999999809
9231.809,92.3179999999999832
9240.026,92.4000000000000054
9246.618,92.4659999999999793
9250.646,92.506
9254.619,92.5459999999999919
9254.995,92.5490000000000062
9264.988,92.6490000000000006
9274.834,92.7479999999999901
9278.353,92.7829999999999867
9282.834,92.8280000000000026
9290.048,92.9000000000000054
9299.424,92.9939999999999993
9305.8,93.0579999999999923
9312.52,93.125
9320.651,93.2059999999999885
9323.318,93.2330000000000037
9333.08,93.3299999999999837
9338.721,93.387
9347.619,93.4759999999999988
9357.188,93.5709999999999976
9364.834,93.6479999999999957
9365.969,93.6589999999999914
9372.951,93.7289999999999847
9375.673,93.756
9379.028,93.7899999999999916
9379.849,93.7980000000000015
9381.326,93.8129999999999878
9388.979,93.8889999999999813
9389.605,93.8959999999999863
9389.822,93.8979999999999957
9392.241,93.9219999999999966
9393.614,93.9360000000000067
9397.937,93.9789999999999847
9400.543,94.004999999999995
9405.763,94.0569999999999875
9414.474,94.1440000000000051
9422.205,94.2219999999999797
9423.999,94.2390000000000039
9433.586,94.3349999999999791
9437.919,94.3789999999999903
9439.092,94.3899999999999861
9442.343,94.4230000000000015
9443.413,94.4339999999999972
9449.247,94.4919999999999898
9455.144,94.5509999999999873
9464.509,94.6449999999999816
9471.963,94.7189999999999935
9481.371,94.8129999999999878
9489.853,94.8979999999999957
9490.378,94.9029999999999912
9499.736,94.9969999999999853
9505.698,95.0559999999999828
9515.532,95.1550000000000008
9524.45,95.2439999999999993
9528.448,95.2839999999999914
9536.257,95.3619999999999942
9540.06,95.4000000000000054
9542.175,95.4209999999999919
9543.653,95.4360000000000067
9551.303,95.5130000000000048
9558.152,95.5809999999999885
9560.043,95.5999999999999938
9566.611,95.6659999999999965
9575.599,95.754999999999995
9584.22,95.8419999999999841
9584.309,95.842999999999989
9585.282,95.8520000000000035
9586.184,95.8609999999999895
9591.162,95.911000000000001
9597.354,95.9729999999999844
9603.165,96.0310000000000056
9606.989,96.068999999999988
9609.405,96.0939999999999935
9610.371,96.1029999999999798
9612.061,96.1200000000000042
9621.91,96.2189999999999935
9630.506,96.3050000000000064
9639.472,96.3940000000000051
9640.057,96.4000000000000054
9642.768,96.4269999999999921
9647.474,96.4739999999999891
9652.206,96.521999999999991
9653.364,96.5329999999999867
9658.162,96.5809999999999885
9662.733,96.6269999999999808
9667.817,96.677999999999997
9677.617,96.7759999999999816
9687.29,96.8719999999999853
9691.527,96.9149999999999916
9692.527,96.9249999999999826
9701.098,97.0099999999999906
9701.495,97.0139999999999813
9702.668,97.0259999999999816
9707.505,97.0749999999999882
9710.218,97.1020000000000035
9714.801,97.1479999999999957
9718.839,97.1879999999999878
9721.192,97.2109999999999839
9725.19,97.2510000000000044
9725.779,97.2570000000000046
9732.493,97.3239999999999834
9733.731,97.3369999999999888
9737.178,97.3709999999999805
9745.746,97.4569999999999931
9752.884,97.5279999999999912
9756.881,97.5679999999999832
9763.273,97.6320000000000046
9767.087,97.669999999999987
9771.079,97.7099999999999791
9771.299,97.7119999999999888
9775.617,97.756
9779.365,97.793000000000006
9785.51,97.8549999999999892
9792.126,97.9209999999999919
9792.826,97.927999999999997
9799.08,97.9899999999999801
9807.304,98.0729999999999787
9816.444,98.1639999999999869
9822.978,98.2289999999999847
9829.696,98.2959999999999919
9836.959,98.3689999999999993
9840.2,98.4019999999999865
9845.569,98.4549999999999837
9848.731,98.4869999999999942
9849.836,98.4979999999999901
9858.169,98.5809999999999885
9862.219,98.6219999999999853
9869.977,98.6989999999999834
9874.031,98.7399999999999801
9876.843,98.7680000000000003
9880.053,98.7999999999999826
9887.192,98.8709999999999805
9887.492,98.8739999999999947
9893.108,98.9309999999999828
9900.481,99.0039999999999903
